DAY_OF_WEEK,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_DELAY,DISTANCE,SCHEDULED_ARRIVAL
5,EV,ATL,HNL,1050,5,4502,1604
5,DL,ATL,HNL,1050,8,4502,1605
4,DL,ATL,SEA,1050,0,2182,1329
5,DL,ATL,SEA,810,0,2182,1049
5,DL,ATL,SEA,810,0,2182,1049
7,DL,ATL,SEA,1920,0,2182,2157
2,DL,ATL,SEA,1630,1,2182,1904
7,DL,ATL,SEA,1920,1,2182,2157
7,EV,ATL,SEA,1920,1,2182,2157
2,US,ATL,SEA,940,2,2182,1218
4,WN,ATL,SEA,1810,2,2182,2050
4,DL,ATL,SEA,1810,3,2182,2050
5,EV,ATL,SEA,1105,3,2182,1345
4,DL,ATL,SEA,1810,4,2182,2050
5,DL,ATL,SEA,1050,4,2182,1329
5,NK,ATL,SEA,1050,4,2182,1329
1,DL,ATL,SEA,1257,5,2182,1527
5,EV,ATL,SEA,1050,5,2182,1329
6,DL,ATL,SEA,810,5,2182,1049
7,DL,ATL,SEA,1920,5,2182,2157
1,DL,ATL,SEA,1300,6,2182,1530
5,DL,ATL,SEA,1810,6,2182,2050
7,EV,ATL,SEA,1920,6,2182,2157
1,DL,ATL,SEA,1300,7,2182,1530
2,WN,ATL,SEA,940,7,2182,1217
5,WN,ATL,SEA,1810,7,2182,2050
7,EV,ATL,SEA,1920,7,2182,2157
7,EV,ATL,SEA,1920,7,2182,2157
2,EV,ATL,SEA,1630,8,2182,1905
2,WN,ATL,SEA,1630,8,2182,1905
3,AA,ATL,SEA,955,9,2182,1230
5,DL,ATL,SEA,2140,18,2182,16
5,DL,ATL,SEA,1050,21,2182,1329
5,EV,ATL,SEA,1050,23,2182,1329
1,WN,ATL,SEA,1920,27,2182,2157
5,DL,ATL,SEA,1810,46,2182,2044
6,DL,ATL,PDX,1915,-1,2172,2152
2,DL,ATL,PDX,951,0,2172,1225
2,DL,ATL,PDX,951,0,2172,1224
7,DL,ATL,PDX,1915,0,2172,2152
7,DL,ATL,PDX,1915,2,2172,2152
2,WN,ATL,PDX,951,4,2172,1225
7,DL,ATL,PDX,1915,4,2172,2152
1,DL,ATL,PDX,1610,5,2172,1837
1,WN,ATL,PDX,1610,8,2172,1837
7,WN,ATL,PDX,1915,8,2172,2152
2,DL,ATL,PDX,2030,10,2172,2303
7,EV,ATL,PDX,1909,10,2172,2144
4,DL,ATL,PDX,951,50,2172,1225
4,DL,ATL,SFO,1050,-2,2139,1320
5,DL,ATL,SFO,810,-2,2139,1038
5,DL,ATL,SFO,815,-2,2139,1043
5,DL,ATL,SFO,810,-2,2139,1038
1,DL,ATL,SFO,1617,-1,2139,1843
4,DL,ATL,SFO,1050,-1,2139,1320
4,DL,ATL,SFO,1755,-1,2139,2022
1,DL,ATL,SFO,1624,0,2139,1850
1,DL,ATL,SFO,1955,0,2139,2224
1,DL,ATL,SFO,1955,0,2139,2224
1,DL,ATL,SFO,1955,0,2139,2224
1,EV,ATL,SFO,1955,0,2139,2222
1,WN,ATL,SFO,1624,0,2139,1852
4,DL,ATL,SFO,1754,0,2139,2021
4,DL,ATL,SFO,1050,0,2139,1320
4,DL,ATL,SFO,1755,0,2139,2022
5,DL,ATL,SFO,810,0,2139,1038
5,DL,ATL,SFO,810,0,2139,1038
5,EV,ATL,SFO,810,0,2139,1038
5,WN,ATL,SFO,810,0,2139,1038
6,DL,ATL,SFO,815,0,2139,1043
7,DL,ATL,SFO,1920,0,2139,2136
2,F9,ATL,SFO,1626,1,2139,1851
4,EV,ATL,SFO,2144,1,2139,9
7,DL,ATL,SFO,1920,1,2139,2150
4,DL,ATL,SFO,1754,2,2139,2010
4,DL,ATL,SFO,1745,2,2139,2011
1,DL,ATL,SFO,1955,3,2139,2224
1,DL,ATL,SFO,1955,4,2139,2224
1,DL,ATL,SFO,1955,4,2139,2224
7,DL,ATL,SFO,1920,4,2139,2150
1,DL,ATL,SFO,1955,5,2139,2224
1,DL,ATL,SFO,1955,5,2139,2224
2,WN,ATL,SFO,1624,5,2139,1852
5,NK,ATL,SFO,725,5,2139,1000
7,DL,ATL,SFO,1920,5,2139,2150
6,DL,ATL,SFO,810,7,2139,1038
7,DL,ATL,SFO,850,7,2139,1125
5,DL,ATL,SFO,1850,9,2139,2125
7,DL,ATL,SFO,1910,9,2139,2126
7,OO,ATL,SFO,1920,12,2139,2136
6,DL,ATL,SFO,1850,15,2139,2125
1,WN,ATL,SFO,1955,17,2139,2224
5,DL,ATL,SFO,1050,18,2139,1321
1,DL,ATL,SFO,1930,19,2139,2205
1,WN,ATL,SFO,1955,20,2139,2224
7,OO,ATL,SFO,1900,22,2139,2135
4,DL,ATL,SFO,1400,23,2139,1626
5,WN,ATL,SFO,1754,25,2139,2010
5,EV,ATL,SFO,1754,28,2139,2010
5,DL,ATL,SFO,2145,29,2139,10
1,WN,ATL,SFO,1955,32,2139,2224
5,DL,ATL,SFO,725,38,2139,1000
1,WN,ATL,SFO,850,48,2139,1120
4,OO,ATL,SFO,1400,48,2139,1626
3,DL,ATL,SFO,1624,51,2139,1852
1,EV,ATL,SFO,1910,52,2139,2126
5,UA,ATL,SFO,1754,60,2139,2010
1,US,ATL,SJC,1959,1,2116,2221
1,DL,ATL,SJC,1959,7,2116,2221
1,DL,ATL,SJC,1959,19,2116,2221
1,EV,ATL,SJC,1959,21,2116,2221
2,DL,ATL,SJC,1959,36,2116,2221
1,DL,ATL,SMF,930,-1,2092,1152
1,DL,ATL,SMF,940,-1,2092,1201
1,EV,ATL,SMF,940,0,2092,1201
1,F9,ATL,SMF,1957,0,2092,2213
1,DL,ATL,SMF,940,1,2092,1200
2,DL,ATL,SMF,940,6,2092,1201
3,DL,ATL,SMF,940,23,2092,1201
3,WN,ATL,SMF,930,45,2092,1151
3,NK,ATL,SMF,930,52,2092,1151
4,DL,ATL,LAX,1052,-2,1947,1300
4,DL,ATL,LAX,2152,-2,1947,2359
5,DL,ATL,LAX,811,-2,1947,1018
5,DL,ATL,LAX,1850,-2,1947,2100
6,DL,ATL,LAX,1518,-2,1947,1726
7,DL,ATL,LAX,1935,-2,1947,2145
1,DL,ATL,LAX,942,-1,1947,1151
1,DL,ATL,LAX,1220,-1,1947,1429
1,DL,ATL,LAX,1220,-1,1947,1428
1,DL,ATL,LAX,1220,-1,1947,1428
1,DL,ATL,LAX,1220,-1,1947,1429
1,DL,ATL,LAX,1613,-1,1947,1820
2,DL,ATL,LAX,944,-1,1947,1155
4,DL,ATL,LAX,2152,-1,1947,2359
4,DL,ATL,LAX,1759,-1,1947,2005
4,DL,ATL,LAX,1750,-1,1947,2000
5,DL,ATL,LAX,811,-1,1947,1017
5,DL,ATL,LAX,811,-1,1947,1018
6,DL,ATL,LAX,1515,-1,1947,1721
7,DL,ATL,LAX,1540,-1,1947,1750
7,DL,ATL,LAX,1935,-1,1947,2145
1,DL,ATL,LAX,1220,0,1947,1428
1,EV,ATL,LAX,1613,0,1947,1820
3,DL,ATL,LAX,1402,0,1947,1610
4,EV,ATL,LAX,2152,0,1947,2359
4,EV,ATL,LAX,2152,0,1947,2358
4,WN,ATL,LAX,1052,0,1947,1300
4,WN,ATL,LAX,2145,0,1947,2355
6,DL,ATL,LAX,834,0,1947,1040
6,EV,ATL,LAX,1127,0,1947,1335
6,WN,ATL,LAX,1132,0,1947,1340
7,DL,ATL,LAX,1927,0,1947,2137
7,DL,ATL,LAX,1935,0,1947,2145
7,MQ,ATL,LAX,1540,0,1947,1750
1,DL,ATL,LAX,1620,1,1947,1826
3,DL,ATL,LAX,1402,1,1947,1610
5,AA,ATL,LAX,1850,1,1947,2100
5,DL,ATL,LAX,2152,1,1947,2359
5,DL,ATL,LAX,1118,1,1947,1325
7,DL,ATL,LAX,850,1,1947,1105
7,DL,ATL,LAX,1935,1,1947,2145
1,DL,ATL,LAX,1613,2,1947,1820
3,WN,ATL,LAX,1402,2,1947,1610
4,DL,ATL,LAX,1759,2,1947,2005
5,DL,ATL,LAX,2152,2,1947,2359
1,EV,ATL,LAX,1620,3,1947,1825
4,DL,ATL,LAX,1759,3,1947,2005
4,DL,ATL,LAX,1758,3,1947,2004
6,DL,ATL,LAX,811,3,1947,1018
6,DL,ATL,LAX,811,3,1947,1018
6,DL,ATL,LAX,1117,4,1947,1325
7,WN,ATL,LAX,1540,4,1947,1750
1,AA,ATL,LAX,1618,5,1947,1825
2,DL,ATL,LAX,944,5,1947,1155
7,WN,ATL,LAX,1527,6,1947,1735
1,DL,ATL,LAX,1935,7,1947,2145
6,WN,ATL,LAX,1518,7,1947,1726
4,DL,ATL,LAX,2145,8,1947,2356
4,DL,ATL,LAX,1759,8,1947,2005
4,EV,ATL,LAX,2140,8,1947,2350
4,EV,ATL,LAX,1759,8,1947,2005
4,EV,ATL,LAX,1758,8,1947,2003
5,DL,ATL,LAX,2152,8,1947,2359
6,DL,ATL,LAX,1518,8,1947,1726
5,DL,ATL,LAX,2152,9,1947,2359
1,EV,ATL,LAX,1935,12,1947,2145
1,DL,ATL,LAX,1927,14,1947,2137
3,DL,ATL,LAX,2038,14,1947,2246
6,EV,ATL,LAX,1850,16,1947,2100
1,DL,ATL,LAX,1233,18,1947,1440
5,US,ATL,LAX,2152,20,1947,2359
4,DL,ATL,LAX,1402,25,1947,1610
5,DL,ATL,LAX,2152,27,1947,2359
5,WN,ATL,LAX,1759,27,1947,2005
1,MQ,ATL,LAX,1927,28,1947,2137
5,EV,ATL,LAX,1759,29,1947,2005
1,DL,ATL,LAX,1920,34,1947,2135
1,WN,ATL,LAX,1540,39,1947,1750
1,EV,ATL,LAX,1925,41,1947,2140
3,EV,ATL,LAX,1613,46,1947,1819
6,DL,ATL,LAX,2152,50,1947,2359
2,WN,ATL,LAX,1220,61,1947,1429
2,DL,ATL,SNA,956,0,1919,1159
2,DL,ATL,SNA,956,1,1919,1159
2,EV,ATL,SNA,1641,3,1919,1839
1,DL,ATL,SNA,1940,4,1919,2141
1,DL,ATL,SNA,1940,5,1919,2141
1,DL,ATL,SNA,1940,5,1919,2141
1,DL,ATL,SNA,1940,6,1919,2141
1,US,ATL,SNA,1940,7,1919,2141
1,DL,ATL,SNA,930,8,1919,1129
1,WN,ATL,SNA,1940,10,1919,2141
1,EV,ATL,SNA,1940,11,1919,2141
1,DL,ATL,SNA,1940,15,1919,2141
1,DL,ATL,SNA,1948,16,1919,2149
3,EV,ATL,SNA,956,23,1919,1157
1,EV,ATL,SNA,1940,35,1919,2141
5,DL,ATL,ONT,1855,4,1900,2046
1,DL,ATL,SAN,1619,0,1892,1815
3,EV,ATL,SAN,2050,0,1892,2246
4,DL,ATL,SAN,1735,0,1892,1929
4,DL,ATL,SAN,1735,0,1892,1929
4,DL,ATL,SAN,1735,0,1892,1929
4,EV,ATL,SAN,1755,0,1892,1949
4,EV,ATL,SAN,1052,0,1892,1250
1,DL,ATL,SAN,1619,1,1892,1815
3,DL,ATL,SAN,2050,1,1892,2246
4,DL,ATL,SAN,1735,1,1892,1929
4,DL,ATL,SAN,2140,2,1892,2334
4,EV,ATL,SAN,1735,3,1892,1926
4,US,ATL,SAN,1735,3,1892,1929
4,EV,ATL,SAN,1735,4,1892,1929
4,WN,ATL,SAN,1735,4,1892,1929
2,DL,ATL,SAN,1625,5,1892,1820
3,DL,ATL,SAN,2050,7,1892,2246
1,DL,ATL,SAN,1619,8,1892,1815
2,WN,ATL,SAN,1619,8,1892,1815
4,DL,ATL,SAN,1735,8,1892,1929
7,DL,ATL,SAN,1540,9,1892,1755
3,DL,ATL,SAN,2050,12,1892,2246
4,DL,ATL,SAN,1735,12,1892,1929
7,WN,ATL,SAN,1540,12,1892,1755
5,WN,ATL,SAN,2140,15,1892,2334
5,DL,ATL,SAN,2140,16,1892,2334
4,DL,ATL,SAN,2050,18,1892,2246
2,DL,ATL,SAN,1625,20,1892,1820
4,EV,ATL,SAN,2050,20,1892,2246
1,DL,ATL,SAN,1540,25,1892,1755
4,DL,ATL,SAN,2050,25,1892,2246
1,EV,ATL,SAN,1540,26,1892,1755
1,DL,ATL,SAN,1545,41,1892,1750
2,DL,ATL,SAN,1240,50,1892,1445
5,WN,ATL,SAN,2050,87,1892,2246
6,DL,ATL,LAS,1905,-2,1747,2050
6,DL,ATL,LAS,820,-2,1747,1000
6,DL,ATL,LAS,1910,-2,1747,2049
6,DL,ATL,LAS,1910,-2,1747,2049
1,DL,ATL,LAS,940,-1,1747,1118
4,DL,ATL,LAS,700,-1,1747,850
6,DL,ATL,LAS,820,-1,1747,958
6,DL,ATL,LAS,820,-1,1747,1000
7,DL,ATL,LAS,1540,-1,1747,1720
2,DL,ATL,LAS,2034,0,1747,2212
4,DL,ATL,LAS,710,0,1747,900
4,DL,ATL,LAS,720,0,1747,900
4,DL,ATL,LAS,700,0,1747,850
5,DL,ATL,LAS,1100,0,1747,1243
5,DL,ATL,LAS,1102,0,1747,1245
6,DL,ATL,LAS,1910,0,1747,2049
6,DL,ATL,LAS,1910,0,1747,2050
1,DL,ATL,LAS,1625,1,1747,1803
1,EV,ATL,LAS,940,1,1747,1118
2,EV,ATL,LAS,2034,1,1747,2212
3,EV,ATL,LAS,2056,1,1747,2231
6,EV,ATL,LAS,1905,1,1747,2050
7,DL,ATL,LAS,1540,1,1747,1720
2,DL,ATL,LAS,940,4,1747,1117
2,DL,ATL,LAS,1625,4,1747,1803
4,DL,ATL,LAS,700,4,1747,850
6,DL,ATL,LAS,1910,4,1747,2049
2,DL,ATL,LAS,940,5,1747,1118
3,DL,ATL,LAS,2056,6,1747,2231
7,DL,ATL,LAS,1910,7,1747,2049
3,EV,ATL,LAS,2056,9,1747,2231
7,DL,ATL,LAS,1915,9,1747,2105
4,DL,ATL,LAS,2056,16,1747,2231
7,DL,ATL,LAS,1905,16,1747,2050
5,DL,ATL,LAS,2145,17,1747,2324
7,DL,ATL,LAS,1910,18,1747,2049
7,DL,ATL,LAS,1515,19,1747,1655
7,DL,ATL,LAS,1910,19,1747,2049
4,OO,ATL,LAS,2056,21,1747,2231
4,EV,ATL,LAS,2056,23,1747,2231
7,DL,ATL,LAS,1910,27,1747,2049
7,WN,ATL,LAS,1905,30,1747,2050
1,DL,ATL,LAS,1905,38,1747,2050
4,DL,ATL,BZN,1055,-2,1640,1322
5,DL,ATL,BZN,1830,-1,1640,2043
1,DL,ATL,BZN,1954,0,1640,2217
5,OO,ATL,BZN,1830,20,1640,2043
5,DL,ATL,STT,1510,-2,1599,1946
1,DL,ATL,STT,940,-1,1599,1417
1,EV,ATL,STT,940,0,1599,1417
2,DL,ATL,STT,940,2,1599,1417
7,DL,ATL,STT,1210,7,1599,1643
3,DL,ATL,STT,944,25,1599,1422
1,WN,ATL,STT,940,0,1599,1417
3,DL,ATL,SLC,1400,-2,1590,1618
3,DL,ATL,SLC,1400,-2,1590,1618
5,DL,ATL,SLC,1850,-2,1590,2107
4,DL,ATL,SLC,2145,-1,1590,2
4,DL,ATL,SLC,1745,-1,1590,2002
4,DL,ATL,SLC,2140,-1,1590,2356
4,DL,ATL,SLC,2145,-1,1590,1
4,DL,ATL,SLC,2145,-1,1590,1
4,DL,ATL,SLC,1035,-1,1590,1254
4,DL,ATL,SLC,2145,-1,1590,1
5,DL,ATL,SLC,805,-1,1590,1029
5,DL,ATL,SLC,805,-1,1590,1029
5,DL,ATL,SLC,805,-1,1590,1029
2,DL,ATL,SLC,1630,0,1590,1851
2,EV,ATL,SLC,1630,0,1590,1851
3,DL,ATL,SLC,1400,0,1590,1618
3,DL,ATL,SLC,1720,0,1590,1936
3,EV,ATL,SLC,1400,0,1590,1618
3,EV,ATL,SLC,1400,0,1590,1616
4,DL,ATL,SLC,2145,0,1590,1
5,DL,ATL,SLC,805,0,1590,1029
5,DL,ATL,SLC,805,0,1590,1029
2,WN,ATL,SLC,1630,1,1590,1851
4,DL,ATL,SLC,2145,1,1590,1
5,DL,ATL,SLC,1850,1,1590,2109
5,EV,ATL,SLC,805,1,1590,1029
4,DL,ATL,SLC,2140,2,1590,2356
5,DL,ATL,SLC,805,2,1590,1029
5,DL,ATL,SLC,805,2,1590,1029
2,DL,ATL,SLC,1630,3,1590,1851
3,DL,ATL,SLC,1405,3,1590,1624
4,DL,ATL,SLC,2145,3,1590,1
4,OO,ATL,SLC,2145,3,1590,1
5,DL,ATL,SLC,1850,3,1590,2109
3,DL,ATL,SLC,1400,4,1590,1618
4,EV,ATL,SLC,1035,4,1590,1254
4,WN,ATL,SLC,1035,4,1590,1254
4,WN,ATL,SLC,2145,4,1590,1
4,DL,ATL,SLC,1035,5,1590,1254
4,DL,ATL,SLC,2145,5,1590,2359
4,DL,ATL,SLC,2145,6,1590,1
5,EV,ATL,SLC,1850,6,1590,2110
3,DL,ATL,SLC,1400,7,1590,1618
3,DL,ATL,SLC,1400,8,1590,1618
5,EV,ATL,SLC,2145,9,1590,1
5,WN,ATL,SLC,720,10,1590,940
7,DL,ATL,SLC,1205,10,1590,1422
4,WN,ATL,SLC,1400,16,1590,1618
4,DL,ATL,SLC,1405,22,1590,1624
4,WN,ATL,SLC,1745,23,1590,2002
5,EV,ATL,SLC,2145,27,1590,1
4,DL,ATL,SLC,1405,31,1590,1624
6,WN,ATL,SLC,805,36,1590,1029
4,DL,ATL,SLC,1400,51,1590,1617
2,EV,ATL,SLC,1205,76,1590,1422
2,DL,ATL,PHX,2046,-5,1587,2304
4,DL,ATL,PHX,1750,-5,1587,2002
7,DL,ATL,PHX,855,-5,1587,1125
2,DL,ATL,PHX,1336,-4,1587,1553
4,DL,ATL,PHX,1740,-4,1587,2001
4,DL,ATL,PHX,1740,-4,1587,2001
4,DL,ATL,PHX,1740,-4,1587,2001
4,DL,ATL,PHX,1750,-4,1587,2002
4,DL,ATL,PHX,1740,-4,1587,2001
6,DL,ATL,PHX,1140,-4,1587,1355
2,DL,ATL,PHX,1336,-2,1587,1553
2,DL,ATL,PHX,1640,-2,1587,1857
2,DL,ATL,PHX,1640,-2,1587,1857
2,DL,ATL,PHX,2046,-2,1587,2305
4,DL,ATL,PHX,1740,-2,1587,2001
4,DL,ATL,PHX,1740,-2,1587,2001
5,DL,ATL,PHX,1103,-2,1587,1328
5,DL,ATL,PHX,810,-2,1587,1032
2,DL,ATL,PHX,1640,0,1587,1857
2,DL,ATL,PHX,1335,0,1587,1600
2,DL,ATL,PHX,2046,0,1587,2302
2,DL,ATL,PHX,2046,0,1587,2304
3,DL,ATL,PHX,1355,0,1587,1620
3,DL,ATL,PHX,1355,0,1587,1620
5,DL,ATL,PHX,1900,0,1587,2121
6,DL,ATL,PHX,1914,0,1587,2133
6,DL,ATL,PHX,1914,0,1587,2135
6,DL,ATL,PHX,1914,0,1587,2133
7,DL,ATL,PHX,850,0,1587,1120
2,DL,ATL,PHX,1335,1,1587,1551
2,DL,ATL,PHX,1336,1,1587,1553
2,DL,ATL,PHX,1637,1,1587,1855
3,DL,ATL,PHX,1355,1,1587,1620
3,DL,ATL,PHX,2046,1,1587,2302
5,DL,ATL,PHX,1900,1,1587,2121
6,DL,ATL,PHX,1914,1,1587,2136
6,DL,ATL,PHX,1914,1,1587,2135
2,EV,ATL,PHX,1336,2,1587,1553
3,AA,ATL,PHX,2046,2,1587,2304
3,DL,ATL,PHX,2046,2,1587,2304
2,EV,ATL,PHX,1640,3,1587,1857
6,DL,ATL,PHX,1140,3,1587,1355
7,DL,ATL,PHX,855,3,1587,1125
3,DL,ATL,PHX,2046,4,1587,2304
7,DL,ATL,PHX,1914,4,1587,2135
7,DL,ATL,PHX,1914,4,1587,2136
7,DL,ATL,PHX,1914,4,1587,2135
3,DL,ATL,PHX,2046,5,1587,2304
3,DL,ATL,PHX,1355,6,1587,1620
5,DL,ATL,PHX,1050,6,1587,1314
7,DL,ATL,PHX,1914,6,1587,2135
2,DL,ATL,PHX,1640,7,1587,1857
6,DL,ATL,PHX,1140,8,1587,1355
3,DL,ATL,PHX,2046,9,1587,2304
7,WN,ATL,PHX,855,10,1587,1125
7,DL,ATL,PHX,855,11,1587,1125
7,WN,ATL,PHX,1914,11,1587,2135
3,DL,ATL,PHX,2045,12,1587,2302
3,EV,ATL,PHX,1355,12,1587,1620
4,EV,ATL,PHX,1430,16,1587,1700
4,EV,ATL,PHX,1355,16,1587,1620
4,WN,ATL,PHX,1740,17,1587,2001
5,DL,ATL,PHX,1103,17,1587,1328
3,DL,ATL,PHX,2046,18,1587,2304
3,EV,ATL,PHX,1640,19,1587,1857
5,DL,ATL,PHX,1050,21,1587,1320
4,DL,ATL,PHX,2046,27,1587,2304
4,WN,ATL,PHX,2046,28,1587,2304
1,DL,ATL,PHX,855,37,1587,1125
4,DL,ATL,PHX,1355,38,1587,1620
6,DL,ATL,PHX,1103,39,1587,1328
4,DL,ATL,SJU,1035,-3,1547,1505
2,DL,ATL,SJU,950,-2,1547,1425
2,DL,ATL,SJU,1630,-2,1547,2100
7,DL,ATL,SJU,1920,-2,1547,2353
5,DL,ATL,SJU,1115,-1,1547,1544
5,DL,ATL,SJU,1115,-1,1547,1542
7,DL,ATL,SJU,1920,-1,1547,2353
2,DL,ATL,SJU,1630,0,1547,2100
6,DL,ATL,SJU,820,0,1547,1246
7,DL,ATL,SJU,1210,0,1547,1638
2,DL,ATL,SJU,1630,3,1547,2101
2,DL,ATL,SJU,1630,3,1547,2100
5,DL,ATL,SJU,1115,3,1547,1542
2,DL,ATL,SJU,1630,4,1547,2100
5,EV,ATL,SJU,1115,5,1547,1544
6,DL,ATL,SJU,1125,7,1547,1553
2,EV,ATL,SJU,1630,8,1547,2100
6,DL,ATL,SJU,820,9,1547,1246
6,DL,ATL,SJU,1115,9,1547,1544
7,DL,ATL,SJU,1915,13,1547,2347
1,EV,ATL,SJU,1230,14,1547,1702
6,EV,ATL,SJU,1115,15,1547,1544
2,WN,ATL,SJU,1630,16,1547,2101
4,DL,ATL,SJU,1030,16,1547,1505
4,WN,ATL,SJU,1035,16,1547,1505
6,EV,ATL,SJU,1125,16,1547,1553
2,WN,ATL,SJU,1630,23,1547,2100
5,DL,ATL,TUS,1105,-3,1541,1323
7,DL,ATL,TUS,1940,-3,1541,2158
5,DL,ATL,TUS,1105,2,1541,1323
5,DL,ATL,TUS,1105,3,1541,1323
1,AA,ATL,TUS,1941,6,1541,2155
1,DL,ATL,TUS,1941,8,1541,2155
5,EV,ATL,TUS,1105,8,1541,1323
1,DL,ATL,TUS,1941,12,1541,2155
6,DL,ATL,TUS,1105,21,1541,1323
6,DL,ATL,TUS,1105,22,1541,1323
1,DL,ATL,TUS,1940,25,1541,2158
1,DL,ATL,TUS,1940,36,1541,2158
6,WN,ATL,TUS,1050,37,1541,1308
1,DL,ATL,TUS,1941,42,1541,2155
3,WN,ATL,TUS,1941,66,1541,2155
3,DL,ATL,MTJ,1005,-3,1352,1202
4,DL,ATL,HDN,1050,-8,1340,1241
4,DL,ATL,HDN,1050,-5,1340,1241
4,DL,ATL,HDN,1050,-4,1340,1241
4,DL,ATL,HDN,1050,-4,1340,1241
4,DL,ATL,HDN,1050,-2,1340,1241
4,DL,ATL,HDN,1050,-2,1340,1241
3,DL,ATL,HDN,1015,-1,1340,1200
4,DL,ATL,HDN,1050,-1,1340,1241
4,DL,ATL,HDN,1050,-1,1340,1241
4,DL,ATL,HDN,1050,0,1340,1241
4,US,ATL,HDN,1015,21,1340,1200
6,EV,ATL,HDN,1050,37,1340,1241
3,WN,ATL,EGE,1015,1,1312,1157
3,DL,ATL,EGE,1015,6,1312,1157
3,DL,ATL,ASE,1010,-4,1304,1201
3,DL,ATL,ASE,1010,-3,1304,1201
3,DL,ATL,ASE,1010,-3,1304,1200
3,DL,ATL,ASE,1010,-2,1304,1201
3,DL,ATL,ASE,1010,0,1304,1201
3,DL,ATL,ASE,1010,0,1304,1201
3,EV,ATL,ASE,1010,0,1304,1201
3,UA,ATL,ASE,1010,0,1304,1200
3,WN,ATL,ASE,1010,0,1304,1201
3,DL,ATL,ASE,1010,1,1304,1200
3,WN,ATL,ASE,1010,6,1304,1201
4,WN,ATL,ASE,1010,27,1304,1201
4,EV,ATL,ASE,1010,35,1304,1201
4,DL,ATL,ASE,1010,36,1304,1157
5,EV,ATL,ASE,1010,57,1304,1157
6,DL,ATL,ELP,1910,-4,1282,2052
6,DL,ATL,ELP,1910,0,1282,2047
6,DL,ATL,ELP,1910,0,1282,2047
6,DL,ATL,ELP,1910,2,1282,2047
6,DL,ATL,ELP,1910,3,1282,2047
5,DL,ATL,ELP,1050,5,1282,1232
7,WN,ATL,ELP,1910,13,1282,2047
5,AS,ATL,ELP,1054,15,1282,1234
7,DL,ATL,ELP,1910,22,1282,2047
2,DL,ATL,ELP,1910,85,1282,2047
2,DL,ATL,ABQ,1655,-3,1269,1833
4,DL,ATL,ABQ,1050,3,1269,1228
1,DL,ATL,ABQ,1936,4,1269,2114
1,WN,ATL,ABQ,1936,11,1269,2114
2,DL,ATL,DEN,1340,-2,1199,1507
1,DL,ATL,DEN,925,-1,1199,1055
2,DL,ATL,DEN,1340,-1,1199,1507
4,DL,ATL,DEN,1815,-1,1199,1948
4,DL,ATL,DEN,620,-1,1199,750
4,DL,ATL,DEN,620,-1,1199,750
6,DL,ATL,DEN,820,-1,1199,949
6,DL,ATL,DEN,820,-1,1199,949
2,DL,ATL,DEN,2032,0,1199,2159
2,DL,ATL,DEN,2032,0,1199,2200
7,DL,ATL,DEN,1925,0,1199,2100
4,DL,ATL,DEN,1815,1,1199,1949
4,EV,ATL,DEN,620,1,1199,750
6,DL,ATL,DEN,820,1,1199,949
7,DL,ATL,DEN,1925,1,1199,2100
5,DL,ATL,DEN,1110,2,1199,1238
2,DL,ATL,DEN,2032,3,1199,2200
2,DL,ATL,DEN,1340,3,1199,1507
5,DL,ATL,DEN,1815,3,1199,1949
5,EV,ATL,DEN,1850,4,1199,2020
2,DL,ATL,DEN,2032,7,1199,2200
2,DL,ATL,DEN,1645,8,1199,1816
6,DL,ATL,DEN,1515,9,1199,1642
2,WN,ATL,DEN,2032,10,1199,2159
5,EV,ATL,DEN,1110,10,1199,1238
6,DL,ATL,DEN,1515,10,1199,1642
1,WN,ATL,DEN,859,13,1199,1026
6,DL,ATL,DEN,1850,13,1199,2020
2,UA,ATL,DEN,940,14,1199,1115
3,DL,ATL,DEN,1340,15,1199,1507
1,WN,ATL,DEN,859,16,1199,1026
6,DL,ATL,DEN,1515,16,1199,1642
3,DL,ATL,DEN,1345,19,1199,1515
3,DL,ATL,DEN,1340,21,1199,1507
6,DL,ATL,DEN,1850,21,1199,2020
7,DL,ATL,DEN,1515,24,1199,1642
7,DL,ATL,DEN,1850,26,1199,2030
7,DL,ATL,DEN,1515,26,1199,1642
7,EV,ATL,DEN,1850,26,1199,2020
3,WN,ATL,DEN,935,27,1199,1105
1,WN,ATL,DEN,859,28,1199,1026
4,AA,ATL,DEN,1340,29,1199,1507
7,DL,ATL,DEN,1515,30,1199,1642
7,EV,ATL,DEN,1850,30,1199,2020
7,WN,ATL,DEN,1850,33,1199,2020
1,DL,ATL,DEN,859,37,1199,1026
7,DL,ATL,DEN,1850,46,1199,2030
4,DL,ATL,DEN,1345,48,1199,1515
1,OO,ATL,DEN,1850,55,1199,2020
1,WN,ATL,DEN,925,5,1199,1055
2,EV,ATL,DEN,810,105,1199,940
6,NK,ATL,DEN,859,162,1199,1026
5,DL,ATL,COS,1900,-3,1184,2019
6,AA,ATL,COS,1900,9,1184,2020
7,EV,ATL,COS,1900,23,1184,2020
7,EV,ATL,COS,1900,28,1184,2020
1,DL,ATL,COS,1900,45,1184,2020
7,EV,ATL,COS,1900,1023,1184,2020
6,DL,ATL,FAR,1915,-10,1123,2128
6,DL,ATL,FAR,1915,-4,1123,2129
