County,ED visits,Asthma_children,A5.9,A10.14,A15.17,No.Hospitals,PercentLessHS,PercentHS,MedianIncome,SpecDist,PedDist
Banks,3,85,0,1,0,0,0.234914018,0.438353309,53930.5,26.75,20.28
Houston,25,710,0,0,1,2,0.107758983,0.268296446,53104.43478,5.217391304,3.18258296
Charlton,4,115,1,0,0,1,0.248833139,0.434364061,42845.5,17,8.85746416
Towns,1,29,0,1,0,1,0.119087838,0.396959459,50038,3.333333333,18.27204383
Towns,1,29,0,0,1,1,0.119087838,0.396959459,50038,3.333333333,18.27204383
Talbot,2,58,1,0,0,0,0.157102051,0.507141002,46912.66667,29,25
Effingham,18,522,1,0,0,1,0.12342597,0.41822387,65668.6,10,15.7296101
Walker,9,261,0,1,0,0,0.199845231,0.361551005,47337.30769,14.92307692,17.77714286
Hall,66,1917,1,0,0,2,0.22221125,0.306573187,55017.72222,6.972222222,6.040604676
Meriwether,7,207,1,0,0,1,0.246285418,0.460867312,42165.75,28.25,23.78129786
Dawson,3,89,0,0,1,0,0.148181818,0.401404959,59166.66667,17.33333333,6.759295455
Early,2,60,0,0,1,1,0.18011395,0.418305459,51846.8,50,
Warren,2,60,1,0,0,0,0.255905512,0.520669291,40514,33.5,
Macon,2,61,0,0,1,1,0.169129348,0.511252557,31044.25,33.5,11.46774457
Ben Hill,3,93,0,0,1,1,0.260966377,0.38009352,32267.4,25.6,11.76718087
Floyd,14,436,0,0,1,2,0.212556255,0.323599487,49891.75,4.8,4.527562518
Bibb,23,717,0,0,1,3,0.159653246,0.305279652,46862.22727,3.545454545,3.098507281
Jasper,2,63,0,0,1,1,0.178001908,0.440915906,45329,25.33333333,25
Hall,26,822,0,0,1,2,0.22221125,0.306573187,55017.72222,6.972222222,6.040604676
Pike,6,190,1,0,0,0,0.140494069,0.391337469,55161.5,11.25,16.32358786
Coweta,19,604,0,0,1,1,0.100984743,0.327714768,70195.8,10.05,9.53067446
Lincoln,1,32,0,1,0,0,0.160613208,0.452830189,30968.5,24.5,25
Cherokee,30,967,0,0,1,1,0.094133709,0.230071979,76484.26923,6.076923077,4.042994524
Rabun,2,65,0,0,1,1,0.173302108,0.328103044,46637.6,30,25
Harris,4,130,0,1,0,0,0.080439612,0.294341167,73963.2,17.2,16.39230528
McIntosh,3,98,1,0,0,0,0.23749586,0.401788672,44374.66667,17.16666667,20.09270415
Dooly,4,131,1,0,0,0,0.260356547,0.439015006,25764,18.33333333,15.44343417
Murray,6,197,0,0,1,1,0.30124628,0.416945685,40748.875,14,15.90506308
Long,4,132,1,0,0,0,0.198967621,0.396058189,40437,35.5,12.98289589
Long,2,66,0,0,1,0,0.198967621,0.396058189,40437,35.5,12.98289589
Heard,2,70,0,0,1,0,0.24976107,0.406498885,42930.66667,26.66666667,25
Fannin,2,70,0,1,0,1,0.187394621,0.411561622,46241.4,6.6,6.7825
Oglethorpe,2,70,0,0,1,0,0.211763178,0.32731758,61574.25,22.75,18.48707002
Atkinson,3,107,1,0,0,0,0.326936915,0.437754857,23165,19,20.31916284
Madison,7,252,1,0,0,0,0.270008873,0.367346939,48163.33333,21.4,11.03927278
Baker,1,36,1,0,0,0,0.216019417,0.371359223,37098.5,13,24.06868105
Whitfield,30,1092,1,0,0,1,0.320128522,0.282747541,48220.61111,4.333333333,5.171503377
Harris,8,294,1,0,0,0,0.080439612,0.294341167,73963.2,17.2,16.39230528
McIntosh,2,75,0,0,1,0,0.23749586,0.401788672,44374.66667,17.16666667,20.09270415
Tift,5,188,0,0,1,1,0.210090399,0.302206959,45773.22222,4.666666667,11.05477912
Whitfield,13,492,0,0,1,1,0.320128522,0.282747541,48220.61111,4.333333333,5.171503377
Twiggs,1,38,0,1,0,0,0.31184739,0.431726908,30397.5,16.5,20.34045458
Emanuel,3,115,0,0,1,1,0.259040915,0.372283326,37670.33333,31.16666667,15.59833733
Catoosa,7,271,0,1,0,1,0.143014432,0.304686803,58964.63636,12.09090909,6.085902402
Lamar,2,78,0,0,1,0,0.185431185,0.455248258,45478.33333,38,20.50633469
Forsyth,19,765,0,0,1,1,0.07623983,0.190906995,97883.86667,4.644444444,5.31247508
Madison,3,124,0,1,0,0,0.270008873,0.367346939,48163.33333,21.4,11.03927278
Turner,1,42,0,0,1,0,0.304026846,0.332885906,44416.5,17,21.75556328
Seminole,1,42,0,0,1,1,0.194026448,0.37004104,25002,2.333333333,3.31
Lincoln,1,42,0,0,1,0,0.160613208,0.452830189,30968.5,24.5,25
Wilkinson,1,43,0,0,1,0,0.140791324,0.520586463,41392.33333,19,22.19176517
Chattahoochee,1,43,0,0,1,0,0.056132677,0.212866776,48162.75,13,9.428844387
Fayette,16,694,0,0,1,1,0.041821838,0.184718944,95793.65,9,2.769002602
Pike,2,88,0,0,1,0,0.140494069,0.391337469,55161.5,11.25,16.32358786
Morgan,2,89,0,0,1,1,0.170724127,0.341759039,54816,27.4,22.18671469
Bacon,1,45,0,0,1,0,0.221258503,0.471258503,52641,28.33333333,25
Clarke,7,320,0,0,1,2,0.140180137,0.218541579,47538.07143,3.8,2.733635251
Johnson,1,46,0,0,1,0,0.325123153,0.361977741,36846.33333,21.66666667,22.33821698
Fannin,4,185,1,0,0,1,0.187394621,0.411561622,46241.4,6.6,6.7825
Madison,3,139,0,0,1,0,0.270008873,0.367346939,48163.33333,21.4,11.03927278
Hancock,1,48,0,0,1,0,0.275965504,0.460254968,26515,20,20.59413773
Brantley,2,97,0,0,1,0,0.220548391,0.48563997,40596.33333,19.33333333,15.02323455
Irwin,1,49,0,0,1,1,0.2877771,0.381736831,51637.5,19.5,10.02711115
Chattahoochee,1,49,0,1,0,0,0.056132677,0.212866776,48162.75,13,9.428844387
Terrell,1,49,0,0,1,0,0.288925552,0.339657661,33801,17,21.5055346
Columbia,13,656,0,0,1,0,0.084461365,0.253023751,77675.2,3.35,6.836405261
Catoosa,6,306,0,0,1,1,0.143014432,0.304686803,58964.63636,12.09090909,6.085902402
Jones,3,155,0,0,1,0,0.106791721,0.376714101,62899,12,15.80164015
Walker,13,672,1,0,0,0,0.199845231,0.361551005,47337.30769,14.92307692,17.77714286
Appling,4,210,1,0,0,0,0.219922905,0.436295395,42366.6,6,14.52877049
Telfair,2,105,1,0,0,0,0.277503565,0.467258967,35347.33333,41.33333333,23.29592593
Meriwether,2,106,0,0,1,1,0.246285418,0.460867312,42165.75,28.25,23.78129786
Lumpkin,2,109,0,0,1,1,0.166022904,0.359558176,55113.25,22.25,14.23285396
Morgan,3,164,1,0,0,1,0.170724127,0.341759039,54816,27.4,22.18671469
Dade,1,55,0,1,0,1,0.161240677,0.347223866,54498.75,28,22.81441715
Lee,3,168,0,0,1,0,0.128727602,0.323242124,73971.2,9.2,6.317775831
Charlton,1,56,0,0,1,1,0.248833139,0.434364061,42845.5,17,8.85746416
Telfair,1,59,0,0,1,0,0.277503565,0.467258967,35347.33333,41.33333333,23.29592593
Pickens,2,121,0,0,1,1,0.188900013,0.342385183,66312,17.16666667,15.00129811
McIntosh,1,61,0,1,0,0,0.23749586,0.401788672,44374.66667,17.16666667,20.09270415
Oconee,3,201,0,0,1,0,0.097681826,0.170412316,89600,11.33333333,5.049831989
Pulaski,1,68,1,0,0,1,0.18998829,0.475263466,48040,32,3.450848865
Long,1,73,0,1,0,0,0.198967621,0.396058189,40437,35.5,12.98289589
Crawford,2,151,1,0,0,0,0.177414773,0.413494318,37873.66667,19,22.13820092
Marion,1,77,1,0,0,0,0.213386161,0.388991085,46459.5,22.66666667,25
Twiggs,1,77,1,0,0,0,0.31184739,0.431726908,30397.5,16.5,20.34045458
Walker,4,313,0,0,1,0,0.199845231,0.361551005,47337.30769,14.92307692,17.77714286
Oconee,4,345,1,0,0,0,0.097681826,0.170412316,89600,11.33333333,5.049831989
Pike,1,89,0,1,0,0,0.140494069,0.391337469,55161.5,11.25,16.32358786
Habersham,2,192,0,0,1,1,0.2293661,0.325094061,47534.625,26.5,8.210456472
Hart,1,111,0,0,1,1,0.198035633,0.394015532,37601.6,15.6,10.96871809
White,1,115,0,0,1,0,0.139620504,0.369300481,54264.2,23.6,19.06335221
Wayne,1,144,0,0,1,1,0.18419244,0.4,40566,8.166666667,7.453610611
Wayne,2,299,1,0,0,1,0.18419244,0.4,40566,8.166666667,7.453610611
Catoosa,4,633,1,0,0,1,0.143014432,0.304686803,58964.63636,12.09090909,6.085902402
Harris,1,166,0,0,1,0,0.080439612,0.294341167,73963.2,17.2,16.39230528
Glascock,0,15,0,1,0,0,0.190535492,0.466998755,44911,43,25
Taliaferro,0,9,0,1,0,0,0.338679245,0.426415094,16458,26,25
Taliaferro,0,11,0,0,1,0,0.338679245,0.426415094,16458,26,25
Clay,0,35,1,0,0,0,0.158149171,0.535911602,17195,50,
Quitman,0,18,1,0,0,0,0.301065719,0.405861456,24306,50,
Clay,0,12,0,1,0,0,0.158149171,0.535911602,17195,50,
Quitman,0,9,0,1,0,0,0.301065719,0.405861456,24306,50,
Clay,0,11,0,0,1,0,0.158149171,0.535911602,17195,50,
Stewart,0,31,0,1,0,1,0.184274333,0.462071354,35206,36.5,25
Marion,0,47,0,1,0,0,0.213386161,0.388991085,46459.5,22.66666667,25
Lanier,0,45,0,0,1,1,0.217075197,0.373286248,41080,22,25
White,0,102,0,1,0,0,0.139620504,0.369300481,54264.2,23.6,19.06335221
Turner,0,47,0,1,0,0,0.304026846,0.332885906,44416.5,17,21.75556328
Bleckley,0,56,0,0,1,1,0.228349011,0.475024327,38195,25.66666667,7.0278051
Echols,0,30,0,1,0,0,0.331660813,0.420471651,34733.5,19,25
Echols,0,29,0,0,1,0,0.331660813,0.420471651,34733.5,19,25
Wheeler,0,26,0,0,1,1,0.265994844,0.468244668,42980.5,21,21.61071302
Banks,0,87,0,0,1,0,0.234914018,0.438353309,53930.5,26.75,20.28
Webster,0,35,1,0,0,0,0.193103448,0.517931034,23439,42.5,25
Chattahoochee,0,119,1,0,0,0,0.056132677,0.212866776,48162.75,13,9.428844387
Dade,0,150,1,0,0,1,0.161240677,0.347223866,54498.75,28,22.81441715
Dade,0,72,0,0,1,1,0.161240677,0.347223866,54498.75,28,22.81441715
Jeff Davis,0,65,0,0,1,1,0.215252153,0.443761104,54152,19.33333333,10.22
Talbot,0,37,0,0,1,0,0.157102051,0.507141002,46912.66667,29,25
Taylor,0,41,0,0,1,0,0.336105779,0.360418,28671.33333,34.33333333,25
Franklin,0,108,0,0,1,1,0.226023104,0.400107459,48297,36.6,5.698430295
Clinch,0,43,0,0,1,1,0.244131455,0.384976526,42574.5,32,
Dooly,0,64,0,0,1,0,0.260356547,0.439015006,25764,18.33333333,15.44343417
Miller,0,23,0,0,1,1,0.19732986,0.410289808,28483,15.33333333,13.33608982
